time,persona,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10
2009,3,0.079721064,0.101770193,0.095515913,0.120356332,0.099664598,0.096792983,0.110140477,0.05781279,0.056979672,0.109795353,0.071450625
2010,0,0.143289433,0.103281154,0.097904667,0.079187731,0.035438193,0.080595826,0.084255092,0.119312916,0.114863492,0.066038858,0.075832638
2010,1,0.130674698,0.076782941,0.067864139,0.120116889,0.054587195,0.126266417,0.077934583,0.115976132,0.091134652,0.04854501,0.090117344
2010,2,0.053573834,0.065265887,0.152256676,0.130209866,0.067945193,0.060222635,0.043841835,0.171279066,0.115652949,0.056544522,0.083207538
2010,3,0.087567454,0.100702326,0.09954617,0.120388289,0.08383976,0.094832519,0.100021483,0.07968108,0.065182642,0.098341204,0.069897072
2011,0,0.151981206,0.108766156,0.109121505,0.091606605,0.033445954,0.080474253,0.083017934,0.118184913,0.10119363,0.067081245,0.055126599
2011,1,0.121504858,0.076121628,0.065017888,0.118882276,0.061976262,0.121101267,0.085084988,0.097211244,0.09523464,0.057670237,0.100194712
2011,2,0.050889753,0.064384629,0.15717585,0.137035743,0.072544618,0.060151058,0.047254089,0.166600429,0.104120844,0.057553224,0.082289764
2011,3,0.088983869,0.101629601,0.097772893,0.116722922,0.078416798,0.093676868,0.094575931,0.089498902,0.06986788,0.095429006,0.07342533
2012,0,0.155281037,0.108308062,0.119673424,0.103384147,0.034869331,0.084027294,0.082160254,0.112984145,0.091253587,0.067844038,0.040214681
2012,1,0.121483954,0.077247129,0.069295886,0.121005021,0.058403807,0.114985344,0.08490302,0.090440698,0.098559803,0.05804961,0.105625729
2012,2,0.054364416,0.064375629,0.172016173,0.151994681,0.067655149,0.054897299,0.043700096,0.173495584,0.092102449,0.049416237,0.075982288
2012,3,0.080360374,0.099949038,0.086793902,0.112466812,0.082738864,0.096176448,0.096621652,0.087836456,0.074611426,0.10004886,0.082396168
2013,0,0.154357498,0.106384352,0.123831944,0.109069831,0.040254044,0.0900388,0.082952694,0.107697399,0.082529191,0.073171466,0.029712782
2013,1,0.116103343,0.07823827,0.065254107,0.113184961,0.061892553,0.112905686,0.088025442,0.082449165,0.103462791,0.063381765,0.115101917
2013,2,0.054278747,0.063612588,0.177579416,0.164679929,0.070862039,0.04597697,0.044956434,0.177793459,0.082434077,0.04366995,0.074156391
2013,3,0.07961304,0.099608508,0.086559352,0.120967028,0.076953485,0.095125376,0.094151638,0.089568799,0.076791183,0.096612602,0.084048989
2014,0,0.151666646,0.105684201,0.121737181,0.10609164,0.048386813,0.096647237,0.084941471,0.102020486,0.076896939,0.083199123,0.022728264
2014,1,0.10474937,0.079774834,0.050977696,0.093242051,0.072854718,0.112629205,0.093899176,0.073703859,0.113582696,0.073285369,0.131301025
2014,2,0.044449385,0.062353796,0.17602038,0.171777302,0.0810582,0.034251143,0.04688826,0.183242561,0.07641972,0.043150116,0.080389136
2014,3,0.085516499,0.100136668,0.097087178,0.144258277,0.061475347,0.092916958,0.088432915,0.095335,0.072882379,0.085924796,0.076033983
2015,0,0.152918095,0.104498366,0.119977337,0.098197783,0.053020881,0.105180429,0.088076437,0.09432515,0.074547437,0.090972924,0.018285162
2015,1,0.096388981,0.080009971,0.042274707,0.084761519,0.079658439,0.110405671,0.095171715,0.072033125,0.12029352,0.077602067,0.141400284
2015,2,0.037806519,0.063637669,0.164251186,0.172024903,0.089286293,0.026176072,0.05350884,0.178052106,0.075056069,0.046994547,0.093205795
2015,3,0.083915849,0.1021813,0.094728639,0.155021123,0.053410318,0.09340911,0.088196929,0.095382304,0.07290952,0.084443492,0.076401417
2016,0,0.156432665,0.100029488,0.121445923,0.088554711,0.056522882,0.111332892,0.091266674,0.088821701,0.074974166,0.09477961,0.015839288
2016,1,0.089473701,0.083473639,0.038460545,0.084303071,0.08388967,0.10704338,0.092181879,0.076516623,0.121377362,0.080696975,0.142583154
2016,2,0.033694594,0.067435718,0.151095166,0.178825989,0.090906556,0.020923596,0.060267238,0.171119819,0.072142414,0.052010063,0.101578847
2016,3,0.07707782,0.099519877,0.089086927,0.161206298,0.050456923,0.091512781,0.089130293,0.096235137,0.077804891,0.08182782,0.086141232
2017,0,0.16171381,0.092962273,0.125090615,0.076333918,0.06035818,0.114607788,0.095283038,0.085937416,0.077267146,0.09538627,0.015059546
2017,1,0.07989834,0.081592118,0.03102719,0.094067048,0.084991475,0.10655156,0.080789489,0.07993171,0.127996387,0.083938914,0.149215769
2017,2,0.03123644,0.073477268,0.137914264,0.184277226,0.090283178,0.017819643,0.068989022,0.164635671,0.067158128,0.058675661,0.105533497
2017,3,0.074153473,0.108009361,0.092674682,0.157795878,0.05314836,0.079228312,0.099926717,0.10173171,0.070222155,0.078562176,0.084547176
2018,0,0.168322156,0.084316788,0.129319705,0.06537431,0.063089879,0.116499064,0.097605848,0.083494519,0.081649181,0.09449289,0.01583566
2018,1,0.076799243,0.089743298,0.026709539,0.080132972,0.096139531,0.115506378,0.074529211,0.069873201,0.130155368,0.088324522,0.152086736
2018,2,0.028674992,0.079527195,0.131163545,0.187382427,0.086770648,0.016561114,0.078404167,0.160910424,0.063005612,0.063649929,0.103949948
2018,3,0.06596731,0.113037271,0.092842713,0.174010685,0.046421873,0.06202772,0.108666973,0.114593567,0.063898406,0.073250125,0.085283355
2019,0,0.174110729,0.077127328,0.130122228,0.055002047,0.067357176,0.12112743,0.095997119,0.079721042,0.08644456,0.094748617,0.018241724
2019,1,0.075457094,0.095003986,0.02544785,0.072284245,0.10267735,0.117917452,0.072183189,0.063579023,0.132459283,0.089752434,0.153238093
2019,2,0.023758189,0.085287409,0.123697247,0.19006604,0.084818036,0.017080075,0.08305823,0.159426819,0.060056664,0.067032832,0.105718457
2019,3,0.056215148,0.118701561,0.095690692,0.187205655,0.044736876,0.050501312,0.114683546,0.122341213,0.054741854,0.072573134,0.08260901
2020,0,0.17906624,0.072574411,0.133252082,0.051200525,0.067960783,0.122188817,0.096437928,0.078054971,0.088256722,0.094355894,0.016651628
2020,1,0.076995892,0.095488806,0.026695812,0.064643812,0.105775077,0.121662904,0.072423051,0.059310215,0.133339464,0.09240259,0.151262377
2020,2,0.021384175,0.089543279,0.119926523,0.193461054,0.082688285,0.016533003,0.085202309,0.159850106,0.057750228,0.067493535,0.106167503
2020,3,0.051084192,0.123316162,0.093681595,0.192862206,0.046453236,0.045149894,0.114893568,0.12634286,0.051197221,0.070653362,0.084365705
