author,persona0,persona1,persona2,persona3
2423,0.5221812,0.3236415,0.0925712,0.0616061
2427,0.0582999,0.05,0.841287,0.0504132
243,0.0196507,0.0150939,0.9601547,0.0051007
281,0.0889794,0.0833333,0.0833333,0.744354
299,0.0425187,0.0423514,0.0416726,0.8734574
324,0.0366598,0.0657677,0.0367829,0.8607895
345,0.0836781,0.0833333,0.7434582,0.0895304
363,0.0625046,0.0627369,0.0625,0.8122585
370,0.0862687,0.0833333,0.0833333,0.7470647
385,0.0314804,0.9046927,0.0313389,0.0324879
406,0.0833417,0.0833333,0.7213401,0.1119848
429,0.3648568,0.204666,0.0833735,0.3471038
445,0.7095692,0.0833334,0.0839209,0.1231766
497,0.364084,0.1250072,0.1250777,0.3858311
510,0.0633439,0.0625712,0.0625,0.8115849
531,0.0821761,0.0508762,0.073346,0.7936017
610,0.0626107,0.811067,0.0625004,0.0638219
624,0.0675168,0.6280677,0.0551406,0.2492749
627,0.0417369,0.0452295,0.0429454,0.8700882
636,0.0833529,0.0833333,0.6437335,0.1895803
677,0.0856671,0.0833333,0.0834288,0.7475708
714,0.4373369,0.1680256,0.3647205,0.0299169
721,0.1250576,0.125,0.125,0.6249424
724,0.0872599,0.5492706,0.0833339,0.2801356
726,0.0865719,0.1182506,0.0833333,0.7118442
754,0.0984615,0.0833333,0.0833333,0.7348718
772,0.0836814,0.4594029,0.0833336,0.3735821
826,0.0844535,0.0833333,0.0833333,0.7488798
865,0.0938287,0.0833333,0.0833333,0.7395046
870,0.2210706,0.3041136,0.189155,0.2856608
900,0.0651238,0.5538889,0.042247,0.3387403
909,0.2727159,0.220752,0.1870034,0.3195288
976,0.2666741,0.3975028,0.1226163,0.2132068
980,0.050003,0.05,0.849971,0.050026
1013,0.0582951,0.0379438,0.8872135,0.0165476
1027,0.0798853,0.5983833,0.0705227,0.2512087
1028,0.15102,0.0240864,0.8042897,0.0206038
1031,0.8028033,0.1327167,0.0317014,0.0327786
1042,0.0891213,0.4182064,0.0833341,0.4093382
1051,0.0833383,0.1723074,0.3003423,0.444012
1054,0.0833335,0.7387379,0.0833426,0.094586
1081,0.0979309,0.0835096,0.0833339,0.7352256
1105,0.4447994,0.0957735,0.0833356,0.3760916
1111,0.0625182,0.1094535,0.6533872,0.1746412
1117,0.2129029,0.1591473,0.0834854,0.5444644
1138,0.0625007,0.7448514,0.111728,0.0809199
