Name,Id,Docs,Size
R   Levine,1827,"[10669517, 14600798, 17956783, 19785926, 15293775, 19699287, 20360168, 20881196, 21970850, 22504034, 22869301, 23906831, 25726282, 16514262, 18632767, 22626945, 24057829]",17
R   Linke,1830,"[11050977, 14517757]",2
R   Matschke,1837,"[11050977, 14517757]",2
S   Andersen,1901,"[10718675, 11016286]",2
S   ChÃ©ry-Croze,1927,"[10668661, 12401967, 15099161, 15319555]",4
S   Erlandsson,1940,"[25862625, 10759074, 11093613, 15703147, 30213235, 23272657, 12689455]",7
S   Griest,1954,"[11032291, 11283496, 17956815, 17114146, 12792317, 18599500, 19205163, 22156949, 23373742, 28183355, 28215378, 30901434, 32362561, 16640064, 23341277, 24603542, 25144174, 25365366, 25211767, 25551458, 26074306, 26181507, 27315442, 27438870, 28418492, 28590898]",26
T   Ito,2136,"[10897396, 32527588]",2
W   Helt,2271,"[10943023, 27315442, 20701838]",3
W   Hiller,2273,"[10888343, 15724525, 15865915, 17178943, 17664870, 22125612, 22789414, 23199238, 24970708, 25120934, 25031187, 25906171, 26168948]",13
B   Hirsch,228,"[10924551, 27717035]",2
W   Mann,2285,"[11219406, 10923310, 15806043]",3
W   Noble,2290,"[10981594, 16514258, 17114142, 17922346, 17956814, 18635586, 19056922, 19925329, 20159209, 22609540, 24811293, 24995899, 25773107]",13
B   JÃ¤ger,233,"[10994170, 26054729, 22413736, 23205617, 23301660, 25480476, 27995315]",7
B   Kroener-Herwig,240,"[10888343, 22443320]",2
B   Mazurek,249,"[11050977, 14517757, 16103972, 16328201, 16896969, 17487461, 17764004, 17943261, 18066513, 18560742, 19173149, 19795102, 20198360, 20811868, 22037929, 22430181, 23292277, 25862619, 26054729, 29350237, 29426995, 29484461, 30694350, 30796499, 30806717, 30927014, 30927015, 11801262, 16226392, 16717441, 16757123, 17086074, 17210337, 17529847, 19222841, 19657182, 20585250, 20948948, 21540584, 21898434, 21997855, 22701404, 22892805, 23439056, 23706306, 25413891, 25445818, 25910505, 26918795, 27250987, 27445776, 27594824, 27995315, 28192822, 28333916, 28499301, 28529479, 28835261, 30488765, 30803389, 32116880, 31912887, 31969359, 31999776, 32170136, 32584841, 32938634, 33009468, 33032023]",69
C   Flick,318,"[10943023, 11732833, 15558367]",3
C   Gilain,325,"[10993550, 21509429, 23995155, 27594410, 32890358]",5
C   Micheyl,372,"[11033244, 12401967]",2
C   Pedersen,382,"[10718327, 10718675, 10909031, 11016286, 21502491]",5
A   Gjedde,54,"[10718327, 10909031]",2
E   Biesinger,541,"[10888343, 18560742, 21252501, 25862620, 26054729, 20708452, 27995315, 30213235]",8
E   Ernst,552,"[10772302, 22805113]",2
E   Houdart,568,"[11026453, 23025972, 28922875, 32229589]",4
E   Michaelides,595,"[10993458, 24622859, 30766380, 30981445]",4
E   Ziegler,630,"[10923310, 11219406]",2
F   Gerhards,654,"[10888343, 15138649, 19859670, 21739368]",4
F   Mirz,668,"[10718327, 10718675, 10909031, 11016286]",4
G   Andersson,690,"[11063238, 11177034, 11200593, 12169130, 14689630, 12894865, 28994194, 12238249, 12271112, 12753982, 12800295, 12932800, 14724924, 15024862, 15370777, 15738691, 15903144, 16379495, 16837798, 17114141, 17129924, 17662756, 17662757, 18926522, 19012118, 19012119, 19027431, 19268281, 19585962, 19675959, 19778399, 19842804, 19929119, 21237544, 21414459, 21864830, 22250855, 23199238, 23301660, 23432207, 23627873, 23675540, 23777191, 23881309, 24297760, 24622860, 24970708, 25031187, 25665072, 25906171, 26399571, 26649534, 26867083, 27114881, 27564444, 28240981, 28418328, 28431551, 28793790, 28990807, 30135798, 30135809, 30461391, 29095725, 29383953, 29739734, 29873278, 30286238, 30295113, 30452747, 30470247, 30479266, 32105512, 32370767]",74
G   Goebel,712,"[10888343, 17114147, 20198360, 23292277, 24294604, 25862621, 26054729, 29417192, 15724525, 17178943, 17664870, 20500027, 22125612, 27995315, 33032023]",15
G   Reiss,751,"[10703157, 11233468, 23213709]",3
H   Levo,841,"[10908968, 21851581, 22093767, 25296967]",4
I   PyykkÃ¶,927,"[10908968, 11893444, 18225608, 21851581, 22093767, 25296967]",6
J   Haapaniemi,988,"[10908984, 26086944]",2
J   Harris,990,"[11130819, 16314604, 19205162, 15106282]",4
A   Lockwood,100,"[11222790, 11568674, 12204348]",3
J   Olszewski,1056,"[11137361, 18552023, 18552045, 18637426, 19004266, 20564895, 22682958, 24337877, 29628872]",9
J   Svedlund,1103,"[11465295, 15643739, 16415703, 16844885]",4
J   Werner,1119,"[11489370, 17255885]",2
A   Moller,114,"[17691335, 10755808, 16015156, 17952199, 21235318, 16514263, 20633385]",7
K   Chelminski,1147,"[11398526, 11398527]",2
K   Markou,1199,"[11318462, 16020985]",2
K   Nowak,1209,"[11355486, 12094648, 12523171, 15307484, 15732832]",5
K   Shiraishi,1222,"[11494523, 28100858]",2
L   McKenna,1277,"[11201320, 11678946, 15250126, 31791396, 17114141, 20053154, 25339938, 27445776, 29131084, 28945659, 30609202, 30612487, 32334871, 32362850]",14
M   Chelminska,1350,"[11398526, 11398527]",2
M   Coad,1353,"[11222790, 11568674, 12204348]",3
M   Fredrikson,1373,"[11200593, 16837798]",2
M   Jastreboff,1408,"[10755812, 21595527, 12503922, 12856300, 15077641, 16514259, 17956808]",7
M   Meikle,1463,"[10755810, 17114146, 17956815, 17956816, 11981384, 12856298, 12856299, 16640064, 18599500, 22156949]",10
M   Reiss,1508,"[10703157, 11233468, 23213709]",3
M   Savastano,1522,"[11677863, 17109163, 12020910, 15191153, 15903206, 16076720, 16572616, 16753839, 17388232, 17416295, 17427776, 18317787, 20114148, 23245492]",14
M   Tapia,1541,"[11692970, 16555108]",2
P   Jastreboff,1708,"[10755812, 17114146, 17956806, 25862626, 12503922, 12856300, 15077641, 16514259, 16640064, 21223542, 21751942]",11
R   Burkard,1791,"[11568674, 11222790, 12204348]",3
R   Humphriss,1818,"[11144832, 21940981, 26804253, 16151359, 16436993, 17077869]",6
R   Salvi,1867,"[11222790, 21821100, 11568674, 17114137, 18948211, 21765586, 24843217, 24882929, 12204348, 22513100, 22557950, 23071681, 23933328, 24622858, 25278931, 25386157, 25904892, 29161302, 15051133, 16904853, 19122834, 19183705, 19712015, 20502380, 21640740, 23201030, 24231418, 25379434, 25734018, 25789314, 25935516, 25962854, 26578894, 28112466, 28286099, 30403955, 30625004, 30941010, 32653998]",39
R   Sharma,1872,"[11683613, 31469523]",2
S   Arnold,1904,"[11222790, 24995902]",2
S   Chae,1920,"[11276338, 26622950]",2
S   Gold,1951,"[11200194, 23571304, 25319676, 25319676, 32703244, 12365886]",6
S   Hwang,1974,"[26147195, 11276338, 32249815, 32291135, 32249815, 32291135, 27626082, 26330911, 26622950, 26330911]",10
S   Reyes,2042,"[11222790, 12204348]",2
S   ZÃ¶ger,2111,"[11465295, 16315449, 15643739, 16415703, 16844885]",5
T   Brozoski,2118,"[11545150, 11896177, 19699270, 22383901, 28478300, 30342202, 16081010, 16492129, 16652071, 17221143, 17382501, 17393482, 18438941, 20868734, 20890204, 21527325, 22405692, 23418634, 23785405, 24282480, 25217380, 25983218, 26520585, 28894836, 32327193, 21969021, 24583078]",27
T   Furmark,2130,"[11200593, 16837798]",2
T   Lenarz,2154,"[11270201, 15042481, 19847455, 20729788, 23267375, 23810454, 24995901, 25480476, 25879244]",9
T   Sahley,2187,"[11223280, 23313584]",2
U   Hoppe,2223,"[11411318, 28082861, 28232817]",3
W   Gray,2267,"[11200194, 12365886]",2
W   Konopka,2281,"[11137361, 18552045, 19004266, 22682958]",4
W   Szyfter,2302,"[11355486, 11766320, 16454306, 12094648, 12162027, 12162028, 12523171, 15307484, 15732832]",9
C   Bauer,282,"[11545150, 11896177, 12856296, 15377954, 16081010, 16492129, 16652071, 17221143, 17382501, 17393482, 18438941, 20868734, 20890204, 21969021, 23418634, 23785405, 24282480, 25273878, 25274374, 25983218, 26520585, 27154602, 28894836, 22383901, 22789414, 24583078, 28478300]",27
C   Formby,319,"[11200194, 19681492, 23571304, 25319676, 25319676, 29792074, 31120533, 31425658, 32703244]",9
C   Hasselt,331,"[19673977, 11269217]",2
C   HerrÃ¡iz,336,"[11692970, 12916476, 14992115, 15195519, 16550862]",5
C   Hodgson,337,"[11144832, 26817495]",2
A   Fabijanska,42,"[11318464, 11318470, 11603778, 21804828, 15732834, 18837228, 19681492, 21735665, 23036120, 23197241, 23719272]",11
D   Baguley,430,"[11678946, 11144832, 12169120, 12894865, 17403265, 21917216, 28994194, 22789414, 23827090, 27228021, 12324394, 15357407, 15793400, 16151359, 16436993, 17077869, 17114135, 17956799, 18174921, 19210767, 19585962, 21221046, 21295114, 21646935, 22633033, 23245492, 24829038, 25296967, 25564147, 26399571, 26804253, 27240696, 27259524, 27619040, 28418328, 28431551, 28793790, 28990807, 30135809, 29095725, 29933258, 30286238, 30295113, 30452747, 30470247, 30479266, 31044691, 31447630, 31365354, 32938634, 33000672]",51
A   Gilbert,52,"[11732833, 15558367]",2
