Name,Id,Docs,Size
P   Dijk,1692,"[19545617, 20430086, 24161276, 30269683, 30828631, 17956816, 18368576, 20922048, 20962699, 22347171, 22387429, 22446179, 22467284, 23223277, 23571300, 24631963, 24691510, 25329557, 25360130, 25822647, 26001407, 27080658, 27867121, 27911239, 28421030, 29375369, 30157212, 30739109, 31201186, 31841861, 31568135, 32938634, 32992290, 24012803, 25531170, 29398141, 32894830]",37
P   Gander,1696,"[24200464, 21087449, 21707872, 21733188, 25478690, 25913402, 25937134, 27871729, 29664725, 30105356]",10
P   Garin,1697,"[21509429, 23995155, 27594410, 32890358]",4
P   Georgiewa,1698,"[16103972, 18066513, 16226392, 16717441, 16757123, 26918795]",6
P   He,1702,"[23865332, 25464808, 27079109, 30124028, 32892305, 29541537, 26121832, 26596001]",8
P   Heyning,1703,"[15503045, 17114151, 19670596, 17691335, 17956816, 18225602, 18225603, 18225607, 18225608, 18225610, 18225613, 18228680, 20374277, 21563554, 21920411, 25654947, 26441318, 27592038, 28286241, 29773153, 31370873, 21889914, 26342399, 18817861, 17952199, 20633385, 19911891, 21235318, 21848924, 22120273, 22392014, 22789414, 24498000, 24603353, 25872149, 29375369, 14744285, 16015156, 16331169, 16514263, 17956771, 18834065, 19005250, 19623097, 19816597, 19937045, 20186404, 20305490, 20417285, 20505927, 21048975, 21358561, 21429905, 21437634, 21756468, 22722146, 22917883, 23133339, 23415838, 23415916, 23418635, 23571303, 23609486, 23640086, 23894638, 24135769, 24395086, 24518401, 24812586, 25056151, 25587455, 25415466, 26045606, 26339968, 26433053, 26554670, 27445661, 27594824, 28572760, 29487513, 29772954, 30019630, 30213235, 30314506, 30626414, 30978269, 31498295, 31498298, 31514042, 31821261, 32150992, 32477049, 33013517, 17114143, 23314693, 25781934, 23049821]",97
P   Hyvärinen,1706,"[23237096, 25437140, 27124116, 27250123, 28084177]",5
P   Kileny,1709,"[27042360, 28604786, 24691511]",3
A   Stein,171,"[25441152, 24581050, 25690779, 25951605, 26583114, 26987755]",6
P   Kitterick,1710,"[27438865, 30880643, 32568801]",3
P   Krauss,1711,"[30707242, 27315063, 28082861, 28232817, 32938634]",5
P   Kreuzer,1712,"[21808984, 22021023, 22032737, 24422941, 24498000, 28807845, 22383902, 22613349, 23049821, 23186556, 23229756, 23435735, 23671468, 23948178, 23968498, 23982788, 24967106, 24996510, 26583098, 26583109, 26583152, 26667790, 27020079, 27315823, 28072813, 28428769, 29515350, 31439873, 21705788, 22069382, 22688213, 22723902, 22509155]",33
P   Lau,1716,"[25441152, 24581050, 25690779, 25951605, 26583114, 26987755, 27250987, 29551983]",8
P   Lurquin,1724,"[23590098, 27097395]",2
P   Martins,1728,"[27488989, 32009347]",2
A   Szczepek,173,"[19795102, 20811868, 22430181, 23292277, 25862619, 29350237, 29426995, 29484461, 30796499, 30806717, 30927014, 30927015, 17943261, 19173149, 22037929, 19222841, 19657182, 20948948, 21540584, 21898434, 22701404, 23439056, 25413891, 25445818, 25910505, 26560061, 26918795, 27250987, 27445776, 27594824, 28192822, 28333916, 28487670, 28499301, 28529479, 29889665, 32774565]",37
P   Monahan,1731,"[30952644, 27354478]",2
P   Neff,1735,"[29143096, 25276437, 27671157, 28315312, 29249959, 30031353, 30500397, 30871419, 31049052, 31434985, 31796761, 31805822, 31905364, 32204540, 32675432, 32808939, 32858835]",17
P   Peignard,1739,"[15711472, 26773752, 16493347, 16969308]",4
P   Raghavan,1746,"[26427834, 27154606, 27154611, 29756346, 31301193, 32854043]",6
P   Strek,1755,"[24684405, 27576018, 29187006]",3
P   Tao,1756,"[19056922, 27681261]",2
