author,persona0,persona1,persona2,persona3
2448,0.8122037,0.0626944,0.0626016,0.0625004
246,0.125,0.1264423,0.6235577,0.125
248,0.0661479,0.0625005,0.8076118,0.0637398
249,0.0409166,0.0114184,0.9319356,0.0157293
251,0.2946668,0.1589472,0.4015676,0.1448184
252,0.9203341,0.0138956,0.0159255,0.0498447
260,0.083352,0.0833397,0.7498799,0.0834284
271,0.2831295,0.305751,0.2846676,0.1264518
282,0.4360662,0.0754284,0.4019147,0.0865908
286,0.7085095,0.0906047,0.1175524,0.0833333
293,0.0244216,0.0345635,0.9182819,0.0227329
300,0.0598141,0.6147144,0.2754714,0.0500001
305,0.1251455,0.45314,0.2967146,0.125
311,0.1262428,0.1267483,0.6220089,0.125
313,0.0505434,0.1038246,0.7956288,0.0500032
323,0.1250018,0.125003,0.6249952,0.125
324,0.1745078,0.1256164,0.5748758,0.125
325,0.0835062,0.087779,0.7452403,0.0834745
326,0.1250144,0.1708378,0.5791478,0.125
328,0.6036533,0.0873159,0.2256973,0.0833335
329,0.1251721,0.2774461,0.4723818,0.125
332,0.1697139,0.0839108,0.6628982,0.0834772
337,0.1266255,0.4124571,0.3359171,0.1250003
342,0.6911079,0.041697,0.2227064,0.0444887
343,0.0537814,0.0501245,0.8459554,0.0501387
349,0.1472131,0.5126963,0.2150907,0.125
353,0.7478371,0.0833975,0.0854321,0.0833333
364,0.8706525,0.0416667,0.0460142,0.0416667
365,0.3131845,0.2822995,0.2697323,0.1347837
368,0.2412209,0.2676002,0.3640651,0.1271137
377,0.0418073,0.0416667,0.8706868,0.0458392
379,0.4639812,0.0418891,0.4422561,0.0518736
381,0.1338789,0.4479693,0.2931518,0.125
384,0.1039627,0.0625006,0.7710367,0.0625
39,0.0833919,0.0840393,0.747353,0.0852158
392,0.1440748,0.6051608,0.1257643,0.125
394,0.6279598,0.2031991,0.0850972,0.0837439
397,0.1255378,0.1256111,0.6238511,0.125
402,0.1068961,0.723092,0.0834896,0.0865223
413,0.125002,0.1258375,0.6241605,0.125
417,0.0510844,0.0503533,0.7863658,0.1121965
420,0.3364695,0.0733427,0.5137232,0.0764645
425,0.1250154,0.1259882,0.6239964,0.125
428,0.13999,0.1251364,0.6098736,0.125
43,0.134181,0.0625,0.740819,0.0625
430,0.2170452,0.0342378,0.6537829,0.0949341
439,0.0842269,0.0833333,0.7489362,0.0835036
446,0.1250252,0.1250708,0.624904,0.125
447,0.2110065,0.2503973,0.2649642,0.2736321
450,0.0863798,0.0836589,0.746628,0.0833333
453,0.101067,0.6979671,0.1176326,0.0833333
457,0.127223,0.1389909,0.6087862,0.125
460,0.6898594,0.0142887,0.257407,0.0384449
463,0.2848832,0.0193713,0.6522785,0.043467
469,0.0865106,0.0833575,0.7467939,0.083338
47,0.0589452,0.0500763,0.8409785,0.05
471,0.2346315,0.027933,0.7057121,0.0317234
474,0.1257192,0.4541893,0.2950915,0.125
476,0.1250944,0.1911159,0.5587897,0.125
48,0.0833333,0.1782446,0.6550887,0.0833333
480,0.1300092,0.1316649,0.6133259,0.125
481,0.7494311,0.0833726,0.083863,0.0833333
484,0.0500025,0.0500076,0.8493955,0.0505943
491,0.5343299,0.2224244,0.1806249,0.0626209
493,0.0858347,0.0968009,0.734031,0.0833333
500,0.139941,0.0238388,0.8034996,0.0327206
502,0.1149187,0.0834595,0.7182885,0.0833333
51,0.301465,0.2992263,0.2738423,0.1254664
517,0.2220867,0.3727121,0.3068631,0.0983382
519,0.1250144,0.2922633,0.4577223,0.125
522,0.7489433,0.0840863,0.0836371,0.0833333
527,0.2427854,0.1155192,0.4546969,0.1869986
529,0.1311745,0.1810136,0.5628119,0.125
53,0.8745269,0.040758,0.0588949,0.0258201
536,0.125,0.2071884,0.5428116,0.125
537,0.7499565,0.0833767,0.0833335,0.0833333
540,0.5882012,0.0183826,0.1096135,0.2838028
541,0.0850267,0.0833364,0.7477918,0.0838452
555,0.1250183,0.1288016,0.6211801,0.125
557,0.6953628,0.0958838,0.1337375,0.0750159
559,0.8330356,0.0615914,0.0553277,0.0500452
57,0.0258672,0.0250061,0.8940912,0.0550356
58,0.7489169,0.0836577,0.0840861,0.0833393
59,0.74007,0.0833576,0.093239,0.0833334
592,0.062733,0.0641275,0.7779636,0.0951759
596,0.066521,0.0796366,0.790627,0.0632154
598,0.1270264,0.3235233,0.4244504,0.125
604,0.0642021,0.0625021,0.8074004,0.0658954
606,0.4208057,0.0572557,0.471889,0.0500496
611,0.0833698,0.7498387,0.0834581,0.0833333
618,0.9395761,0.0192308,0.0219412,0.0192519
620,0.5442065,0.3304377,0.0627793,0.0625766
